id;name;description;start_date;end_date
1;Dollar Peru Innovative;infomediaries Specialist;2023-05-21;2023-05-21
2;Wooden Ergonomic;bottom-line;2023-05-20;2023-05-21
3;Facilitator transition;Executive;2023-05-20;2023-05-21
4;deposit systems compressing;Arizona;2023-05-20;2023-05-21
5;users;Harbors Toys;2023-05-21;2023-05-20
6;cyan Mouse;Zambian Refined;2023-05-21;2023-05-20
7;relationships;ROI;2023-05-20;2023-05-21
8;repurpose;Quality auxiliary;2023-05-21;2023-05-21
9;open-source Kids;Prairie moratorium Buckinghamshire;2023-05-21;2023-05-21
10;Turkey;Product neural-net Avon;2023-05-21;2023-05-21
